OrderID,ProductLineName,OrderNumber,CustomerID,CustomerAccountID,OrderDate,OrderStatus,SubTotal,TaxAmount,OrderTotal,PaymentMethod,IsoCurrencyCode,CreatedBy
73606716-a5e6-45ab-9da4-878056e6bdd7,Kitchen,D200000,CID-001,CA-0002,2025-01-13,Completed,2209.8,132.6,2342.4,VISA,USD,SampleGen
5f44a210-75d6-49d1-a2a6-009b4d01e27b,Kitchen,D200001,CID-001,CA-0002,2025-02-19,Completed,271.92,16.32,288.24,VISA,USD,SampleGen
96aa5a16-dbe2-4174-9d38-574969e7687e,Kitchen,D200002,CID-001,CA-0002,2025-02-10,Completed,4817.72,289.08,5106.8,PayPal,USD,SampleGen
bf06286f-f0c4-4e4b-80aa-c5855eaab496,Kitchen,D200003,CID-001,CA-0002,2025-03-30,Completed,435.86,26.16,462.02,MC,USD,SampleGen
d7c967ad-fbf0-4d15-8934-799f21682852,Kitchen,D200004,CID-001,CA-0002,2025-04-15,Completed,5347.76,320.88,5668.64,VISA,USD,SampleGen
ea948efe-613b-4835-bb2d-9d5d94d7d95b,Kitchen,D200005,CID-001,CA-0002,2025-04-20,Completed,823.84,49.44,873.28,Discover,USD,SampleGen
4ea3a8fe-602e-410c-8d36-e8956541e493,Kitchen,D200006,CID-001,CA-0002,2025-05-22,Completed,1971.76,118.32,2090.08,VISA,USD,SampleGen
9985fb2a-0ccc-4640-a390-64800df3f839,Kitchen,D200007,CID-001,CA-0002,2025-05-31,Completed,5871.84,352.32,6224.16,AmEx,USD,SampleGen
285ae808-2029-40af-b4c7-37a35e3ba31e,Kitchen,D200008,CID-001,CA-0002,2025-05-06,Shipped,7367.72,442.08,7809.8,MC,USD,SampleGen
4b0f494f-a7c0-40fa-86f4-9ec4df994c51,Kitchen,D200009,CID-001,CA-0002,2025-06-23,Completed,471.88,28.32,500.2,Discover,USD,SampleGen
d61bc932-7e88-4ba5-bb96-59aec4736b5b,Kitchen,D200010,CID-001,CA-0002,2025-06-05,Completed,1239.76,74.4,1314.16,Discover,USD,SampleGen
da42aea9-8d23-4170-b0d8-d31e3e29e286,Kitchen,D200011,CID-001,CA-0002,2025-06-25,Shipped,4399.8,264.0,4663.8,VISA,USD,SampleGen
58ef5de1-81ad-4805-8a1a-125ec6520890,Kitchen,D200012,CID-001,CA-0002,2025-07-19,Completed,2663.84,159.84,2823.68,VISA,USD,SampleGen
4fec233a-81da-42b4-82a1-8aaf68bc1457,Kitchen,D200013,CID-001,CA-0002,2025-07-25,Shipped,1091.88,65.52,1157.4,MC,USD,SampleGen
fdd7d26f-0ce1-40ed-b82a-ac92e7c1825e,Kitchen,D200014,CID-001,CA-0002,2025-08-10,Completed,2619.8,157.2,2777.0,VISA,USD,SampleGen
867a9d88-0e3e-4738-b0f1-c93cfa9cfede,Kitchen,D200015,CID-001,CA-0002,2025-08-09,Completed,4283.72,257.04,4540.76,MC,USD,SampleGen
e37336eb-4c52-4d51-9017-c843a5e9428a,Kitchen,D200016,CID-001,CA-0002,2025-08-31,Cancelled,3787.74,227.28,4015.02,VISA,USD,SampleGen
21bb7d7a-4ccd-45f7-8cee-653cb213f1d2,Kitchen,D200017,CID-001,CA-0002,2025-09-12,Completed,1089.76,65.4,1155.16,VISA,USD,SampleGen
deb78467-66f8-4e7a-8f8a-bd468215f987,Kitchen,D200018,CID-001,CA-0002,2025-09-13,Completed,4263.78,255.84,4519.62,MC,USD,SampleGen
25f8680d-d67f-4311-b41d-f5b0a2dfec34,Kitchen,D200019,CID-001,CA-0002,2025-09-26,Completed,1577.74,94.68,1672.42,VISA,USD,SampleGen
f7ee12ff-1054-462c-b50e-1a397d9187bf,Kitchen,D200020,CID-001,CA-0002,2025-10-15,Completed,2881.74,172.92,3054.66,VISA,USD,SampleGen
b4a64c6d-bbbc-48de-9d99-d24d907ef94a,Kitchen,D200021,CID-001,CA-0002,2025-10-13,Cancelled,387.92,23.28,411.2,PayPal,USD,SampleGen
7dc85bc4-2d5c-42c6-b177-fc55159f2643,Kitchen,D200022,CID-001,CA-0002,2025-10-26,Completed,2831.88,169.92,3001.8,AmEx,USD,SampleGen
0f21639c-3e13-43cd-b91f-7e9ccda72785,Kitchen,D200023,CID-001,CA-0002,2025-10-28,Completed,1419.82,85.2,1505.02,MC,USD,SampleGen
0617007f-b549-4b7e-9192-ea28e63656ed,Kitchen,D200024,CID-001,CA-0002,2025-11-22,Completed,3783.82,227.04,4010.86,VISA,USD,SampleGen
