PaymentID,InvoiceID,CustomerID,PaymentDate,PaymentAmount,PaymentMethod,PaymentStatus,CreatedBy
5fd95ee1-f9cc-42a4-85a9-f7f422844f59,e799f84e-cabc-4f9f-b1a5-395875e9ac17,CID-001,2025-01-14,184.86,MC,Completed,SampleGen
62ec6050-1f11-47dd-bdf1-b43aba3f9ea0,bab99d05-065d-43a0-b615-229125e6f837,CID-001,2025-02-17,940.63,MC,Completed,SampleGen
e41b789e-fa56-4074-b39a-c94eb0338d38,0ee9af8f-7722-4fb8-b28c-5be3555ad257,CID-001,2025-03-19,1391.93,VISA,Completed,SampleGen
60e584a1-366e-4747-8033-0a0416464160,b29d40c4-8948-441f-b10b-4ffd9775c429,CID-001,2025-04-23,706.82,MC,Completed,SampleGen
c64e4b33-8552-4a60-913a-d757bbc6c294,d5a31115-170e-4b05-a7c4-dc5de7bae75f,CID-001,2025-05-30,2049.85,MC,Completed,SampleGen
9aa6cc28-fe1f-4d3c-a8b8-0468a94dab22,9c36c6b4-30cf-4336-a3d7-1a6b132c6bee,CID-001,2025-06-15,532.84,VISA,Completed,SampleGen
e8fc56cf-84c1-4734-a8dd-31fd196acad3,14a2d7ac-b3c3-43e8-bc63-735fcf8fb8e9,CID-001,2025-07-16,97.86,AmEx,Completed,SampleGen
82fc2dd7-960e-4c98-8610-73e2121996dc,9ce50e3b-b7bd-4616-ab11-c79a3f4736ec,CID-001,2025-08-29,619.84,MC,Completed,SampleGen
73eed37b-2a96-4ae5-8854-ab257a6aa08f,b3535fa4-e588-427c-988d-0a776fae8581,CID-001,2025-09-23,391.47,VISA,Completed,SampleGen
ae2743d8-7e48-41da-8d7e-7971edef986f,d8ec5081-57db-429d-9dae-55b583aaca08,CID-001,2025-10-04,1179.88,VISA,Completed,SampleGen
28cf9dec-0700-4a58-af3c-02bb9402336d,4fc4e8ff-faa8-43dc-8b7c-ce89e9b25e80,CID-001,2025-11-09,2718.64,VISA,Completed,SampleGen
58cec33e-de5f-4949-b040-757539f8fb01,bf7801a5-2bad-48a7-8842-524c7f8cd66d,CID-001,2025-12-07,1283.19,VISA,Completed,SampleGen
fecb2a95-4bfa-4a13-8b2a-ede31d05ac66,44be7543-794d-40b2-a376-01380c4c9421,CID-001,2026-01-16,2397.81,Discover,Completed,SampleGen
2fa40b0e-02e0-44c1-911b-59816fc1481d,d594adcc-5ec5-4963-8f61-f69d187be078,CID-001,2026-02-25,2055.27,MC,Completed,SampleGen
b2f06b3a-721d-4328-b1e7-d59907c5dd5e,8472fc6f-02e1-4f01-b6e9-25224a60dd72,CID-001,2026-03-03,897.14,AmEx,Completed,SampleGen
05a07ed4-da26-44f5-9448-78254b704cf9,170d9d60-992b-46f5-bbb4-762f07f05ed9,CID-001,2026-04-23,532.82,VISA,Completed,SampleGen
7979de1a-3a8a-403e-a1b0-4e9be72aaa5c,2a32cd92-0fdd-4b37-8c7a-3f1400843833,CID-002,2025-01-20,391.48,AmEx,Completed,SampleGen
ebef7cb7-248c-4cf0-ba87-407ca928e49b,4c46cce2-cf9d-4021-b12a-fda534675ea5,CID-002,2025-03-01,685.08,AmEx,Completed,SampleGen
1101c586-c946-4025-b673-519a60f3aee2,728e7b24-9e5c-4747-9eaf-264a2539641e,CID-002,2025-03-15,489.34,VISA,Completed,SampleGen
672b1b56-bee3-466c-a90c-d0b36725a44c,54b70b38-303a-42b9-ab8f-0a66d375d646,CID-002,2025-04-03,97.86,VISA,Completed,SampleGen
ddc1ab94-4dc9-4928-9380-899b62128a31,6c61168c-0aed-4462-bebd-42944f768651,CID-002,2025-05-14,576.32,AmEx,Completed,SampleGen
af5b2a2b-f184-4c65-a1ac-9de64db725c2,05158033-7126-48f8-9da6-20d5b8428966,CID-002,2025-06-16,1560.48,PayPal,Completed,SampleGen
25dd9aa3-1347-4245-9d5d-ec60c02bbb2f,94960250-d4ea-4d32-a2c3-ba4ed286c32b,CID-002,2025-07-25,565.47,AmEx,Completed,SampleGen
b95c4503-2d9b-4085-b18d-687d594ec214,9d9ac3e4-f470-4a19-bddb-fb989fc345f7,CID-002,2025-08-20,456.7,Discover,Completed,SampleGen
