OrderID,SalesChannelID,OrderNumber,CustomerID,CustomerAccountID,OrderDate,OrderStatus,SubTotal,TaxAmount,OrderTotal,PaymentMethod,IsoCurrencyCode,CreatedBy
9e79e0a6-e964-4672-984c-507d75492d34,Kitchen,D200000,CID-001,CA-0002,2025-02-16,Completed,4351.7,261.12,4612.82,AmEx,USD,SampleGen
c4816941-8a93-4345-b5df-6f6259d639b5,Kitchen,D200001,CID-001,CA-0002,2025-03-14,Pending,1079.88,64.8,1144.68,VISA,USD,SampleGen
c2e29148-00f6-43cb-ae58-30e51ce81cdf,Kitchen,D200002,CID-001,CA-0002,2025-04-13,Completed,1471.9,88.32,1560.22,MC,USD,SampleGen
c25060b7-f9b8-4f3d-b233-be97c4b431c8,Kitchen,D200003,CID-001,CA-0002,2025-04-23,Pending,6041.8,362.52,6404.32,Discover,USD,SampleGen
6866873d-22e9-4e53-9c4b-0d1fe5634ac8,Kitchen,D200004,CID-001,CA-0002,2025-05-23,Cancelled,2463.84,147.84,2611.68,Discover,USD,SampleGen
4f2d1ba3-da98-492d-b5d8-fd2cc8f1ef8a,Kitchen,D200005,CID-001,CA-0002,2025-06-04,Cancelled,839.76,50.4,890.16,Discover,USD,SampleGen
f4b51a30-967c-4be1-8f81-30a363444ee0,Kitchen,D200006,CID-001,CA-0002,2025-06-26,Completed,1255.8,75.36,1331.16,MC,USD,SampleGen
95b40a27-e483-4b09-b281-81c9a4ed0427,Kitchen,D200007,CID-001,CA-0002,2025-07-01,Pending,635.82,38.16,673.98,Discover,USD,SampleGen
0b8204fa-482f-427b-bc5b-ff4fd3ce2520,Kitchen,D200008,CID-001,CA-0002,2025-07-29,Completed,2831.82,169.92,3001.74,MC,USD,SampleGen
88855865-73f8-42ae-bccd-2de10e53d080,Kitchen,D200009,CID-001,CA-0002,2025-08-16,Completed,2939.76,176.4,3116.16,MC,USD,SampleGen
9e88954b-71c1-4c5c-b3af-13f8605cb606,Kitchen,D200010,CID-001,CA-0002,2025-08-12,Completed,2753.88,165.24,2919.12,MC,USD,SampleGen
0569b3a3-b887-4f49-a8a1-6d88502c310f,Kitchen,D200011,CID-001,CA-0002,2025-09-27,Shipped,983.8,59.04,1042.84,PayPal,USD,SampleGen
