AccountID,AccountNumber,CustomerID,AccountType,AccountStatus,CreatedDate,ClosedDate,Balance,Currency,Description,CreatedBy
f51de303-2eee-41ed-af27-133238e8a173,ACC-Camping-1000,CID-001,Receivable,Active,2025-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
27612db6-6992-494c-a558-e2aef72a2391,ACC-Camping-1001,CID-002,Receivable,Active,2025-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
df568aec-2df9-431e-91c5-d1d46e2aa4b4,ACC-Camping-1002,CID-003,Receivable,Active,2025-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
2c8466d5-7da5-4ad4-a586-f83f37445dd8,ACC-Camping-1003,CID-004,Receivable,Active,2025-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
568744d1-bd7b-4f0c-b100-be29bfc0d411,ACC-Camping-1004,CID-005,Receivable,Active,2025-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
ea93b421-8411-49cd-b52d-98c75d73b9ab,ACC-Camping-1005,CID-006,Receivable,Active,2025-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
37f0817c-b4f6-4490-b2bb-ab82513e2849,ACC-Camping-1006,CID-007,Receivable,Active,2025-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
71d4fbd7-b04e-4cd9-bab3-998f60fa60ae,ACC-Camping-1007,CID-008,Receivable,Active,2025-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
10c12574-9e39-4ccf-b4d2-058c89a6aef8,ACC-Camping-1008,CID-009,Receivable,Active,2025-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
e4374007-4417-45e6-9e36-a2de30cdbbd6,ACC-Camping-1009,CID-010,Receivable,Active,2025-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
1c21aee9-5aae-4d12-adac-f7e11d85a335,ACC-Camping-1010,CID-011,Receivable,Active,2025-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
4cb882d2-cd3f-4f9c-8a79-5948a062747a,ACC-Camping-1011,CID-012,Receivable,Active,2025-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
94fb69d7-b688-4dc2-b537-5b0cf5c311fc,ACC-Camping-1012,CID-013,Receivable,Active,2025-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
2f86ec97-897d-458c-8a72-cd34a3a25f04,ACC-Camping-1013,CID-014,Receivable,Active,2025-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
da43c178-3f2e-446a-aded-391dc675c493,ACC-Camping-1014,CID-015,Receivable,Active,2025-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
317b92e1-e745-4eb5-8aad-9111c7982fcf,ACC-Camping-1015,CID-016,Receivable,Active,2025-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
f73c0237-1724-4c6a-808b-6faab321e7a0,ACC-Camping-1016,CID-017,Receivable,Active,2025-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
82658012-7e70-4a0d-9212-a84e3fc6ad06,ACC-Camping-1017,CID-018,Receivable,Active,2025-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
d5a08546-1953-4f43-a077-61e19c436fd9,ACC-Camping-1018,CID-019,Receivable,Active,2025-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
09614d25-d3be-4043-883d-f686bd659578,ACC-Camping-1019,CID-020,Receivable,Active,2025-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
8b5a4260-0d11-424f-9b3f-44773010f508,ACC-Camping-1020,CID-021,Receivable,Active,2025-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
74aa67c7-f925-4933-86ed-ebdf77863ace,ACC-Camping-1021,CID-022,Receivable,Active,2025-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
afecc77c-54d1-4ef8-be9d-54fb13878307,ACC-Camping-1022,CID-023,Receivable,Active,2025-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
4b2ec86a-bf88-4857-9ed6-32de6023b21d,ACC-Camping-1023,CID-024,Receivable,Active,2025-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
a5b613a1-a4b3-4e1e-9c6d-82e3798743fe,ACC-Camping-1024,CID-025,Receivable,Active,2025-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
dd082450-dc7b-4e58-a68a-5d91af6f3ed6,ACC-Camping-1025,CID-026,Receivable,Active,2025-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
0cee37ab-694d-4998-9bbe-0941894af2c8,ACC-Camping-1026,CID-027,Receivable,Active,2025-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
bd273d85-6469-4db4-80d0-c0cc88a39d99,ACC-Camping-1027,CID-028,Receivable,Active,2025-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
b1d3aa69-e110-4120-a961-7720973494c1,ACC-Camping-1028,CID-029,Receivable,Active,2025-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
ce192afb-51b0-4ce0-ac8b-ab41ecc4ebe6,ACC-Camping-1029,CID-030,Receivable,Active,2025-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
bd955152-7902-457b-b3df-b35947f58407,ACC-Camping-1030,CID-031,Receivable,Active,2025-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
72266338-8ad7-46e5-b0e8-7046f717e52f,ACC-Camping-1031,CID-032,Receivable,Active,2025-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
095eb154-4420-4eed-9d59-9e219264da2c,ACC-Camping-1032,CID-033,Receivable,Active,2025-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
84eeff7e-7c1d-437f-89f0-ab4f63f1eef8,ACC-Camping-1033,CID-034,Receivable,Active,2025-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
1f3c12dd-1469-4e23-b6a3-a9a414d520c5,ACC-Camping-1034,CID-035,Receivable,Active,2025-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
