OrderID,OrderLineNumber,ProductID,ProductName,Quantity,UnitPrice,LineTotal,DiscountAmount,TaxAmount
9e79e0a6-e964-4672-984c-507d75492d34,1,2012,Espresso Machine,4,851.98,3407.92,0.0,204.48
9e79e0a6-e964-4672-984c-507d75492d34,2,2081,Food Storage Set,4,69.98,279.92,0.0,16.8
9e79e0a6-e964-4672-984c-507d75492d34,3,2041,Serving Platter,4,135.98,543.92,0.0,32.64
9e79e0a6-e964-4672-984c-507d75492d34,4,2101,Measuring Cup Set,3,39.98,119.94,0.0,7.2
c4816941-8a93-4345-b5df-6f6259d639b5,1,2021,Chef Knife,3,179.98,539.94,0.0,32.4
c4816941-8a93-4345-b5df-6f6259d639b5,2,2021,Chef Knife,3,179.98,539.94,0.0,32.4
c2e29148-00f6-43cb-ae58-30e51ce81cdf,1,2041,Serving Platter,2,135.98,271.96,0.0,16.32
c2e29148-00f6-43cb-ae58-30e51ce81cdf,2,2111,High-Speed Blender,3,399.98,1199.94,0.0,72.0
c25060b7-f9b8-4f3d-b233-be97c4b431c8,1,2012,Espresso Machine,4,851.98,3407.92,0.0,204.48
c25060b7-f9b8-4f3d-b233-be97c4b431c8,2,2012,Espresso Machine,3,851.98,2555.94,0.0,153.36
c25060b7-f9b8-4f3d-b233-be97c4b431c8,3,2091,Spatula,3,25.98,77.94,0.0,4.68
6866873d-22e9-4e53-9c4b-0d1fe5634ac8,1,2011,Coffee Maker,2,379.98,759.96,0.0,45.6
6866873d-22e9-4e53-9c4b-0d1fe5634ac8,2,2121,Bamboo Cutting Board Set,2,91.98,183.96,0.0,11.04
6866873d-22e9-4e53-9c4b-0d1fe5634ac8,3,2011,Coffee Maker,4,379.98,1519.92,0.0,91.2
4f2d1ba3-da98-492d-b5d8-fd2cc8f1ef8a,1,2071,Baking Pan,3,57.98,173.94,0.0,10.44
4f2d1ba3-da98-492d-b5d8-fd2cc8f1ef8a,2,2051,Ice Cream Bowl,2,49.98,99.96,0.0,6.0
4f2d1ba3-da98-492d-b5d8-fd2cc8f1ef8a,3,2022,Fork Set,4,91.98,367.92,0.0,22.08
4f2d1ba3-da98-492d-b5d8-fd2cc8f1ef8a,4,2031,Coffee Mug,3,65.98,197.94,0.0,11.88
f4b51a30-967c-4be1-8f81-30a363444ee0,1,2041,Serving Platter,2,135.98,271.96,0.0,16.32
f4b51a30-967c-4be1-8f81-30a363444ee0,2,2031,Coffee Mug,4,65.98,263.92,0.0,15.84
f4b51a30-967c-4be1-8f81-30a363444ee0,3,2112,4-Slice Toaster,4,179.98,719.92,0.0,43.2
95b40a27-e483-4b09-b281-81c9a4ed0427,1,2061,Mixing Bowl,2,79.98,159.96,0.0,9.6
95b40a27-e483-4b09-b281-81c9a4ed0427,2,2051,Ice Cream Bowl,2,49.98,99.96,0.0,6.0
95b40a27-e483-4b09-b281-81c9a4ed0427,3,2121,Bamboo Cutting Board Set,3,91.98,275.94,0.0,16.56
95b40a27-e483-4b09-b281-81c9a4ed0427,4,2051,Ice Cream Bowl,2,49.98,99.96,0.0,6.0
0b8204fa-482f-427b-bc5b-ff4fd3ce2520,1,2012,Espresso Machine,2,851.98,1703.96,0.0,102.24
0b8204fa-482f-427b-bc5b-ff4fd3ce2520,2,2021,Chef Knife,4,179.98,719.92,0.0,43.2
0b8204fa-482f-427b-bc5b-ff4fd3ce2520,3,2041,Serving Platter,3,135.98,407.94,0.0,24.48
88855865-73f8-42ae-bccd-2de10e53d080,1,2051,Ice Cream Bowl,2,49.98,99.96,0.0,6.0
88855865-73f8-42ae-bccd-2de10e53d080,2,2011,Coffee Maker,4,379.98,1519.92,0.0,91.2
88855865-73f8-42ae-bccd-2de10e53d080,3,2101,Measuring Cup Set,3,39.98,119.94,0.0,7.2
88855865-73f8-42ae-bccd-2de10e53d080,4,2111,High-Speed Blender,3,399.98,1199.94,0.0,72.0
9e88954b-71c1-4c5c-b3af-13f8605cb606,1,2031,Coffee Mug,3,65.98,197.94,0.0,11.88
