OrderID,OrderLineNumber,ProductID,ProductName,Quantity,UnitPrice,LineTotal,DiscountAmount,TaxAmount
c7fd8b64-c9b8-41ff-8142-167bbb4ba3b9,1,2011,Coffee Maker,2,379.98,759.96,0.0,45.6
c7fd8b64-c9b8-41ff-8142-167bbb4ba3b9,2,2041,Serving Platter,4,135.98,543.92,0.0,32.64
c7fd8b64-c9b8-41ff-8142-167bbb4ba3b9,3,2011,Coffee Maker,2,379.98,759.96,0.0,45.6
c7fd8b64-c9b8-41ff-8142-167bbb4ba3b9,4,2112,4-Slice Toaster,3,179.98,539.94,0.0,32.4
dc9a7a1d-b463-48ee-a576-037ee198bc20,1,2021,Chef Knife,4,179.98,719.92,0.0,43.2
dc9a7a1d-b463-48ee-a576-037ee198bc20,2,2011,Coffee Maker,2,379.98,759.96,0.0,45.6
dc9a7a1d-b463-48ee-a576-037ee198bc20,3,2041,Serving Platter,3,135.98,407.94,0.0,24.48
dc9a7a1d-b463-48ee-a576-037ee198bc20,4,2022,Fork Set,4,91.98,367.92,0.0,22.08
f07f6d5c-3200-48ba-a311-94546bc40fa9,1,2041,Serving Platter,2,135.98,271.96,0.0,16.32
f07f6d5c-3200-48ba-a311-94546bc40fa9,2,2012,Espresso Machine,2,851.98,1703.96,0.0,102.24
f07f6d5c-3200-48ba-a311-94546bc40fa9,3,2031,Coffee Mug,4,65.98,263.92,0.0,15.84
873e26b4-860e-4c28-9928-5727e2d957e7,1,2031,Coffee Mug,2,65.98,131.96,0.0,7.92
873e26b4-860e-4c28-9928-5727e2d957e7,2,2011,Coffee Maker,3,379.98,1139.94,0.0,68.4
873e26b4-860e-4c28-9928-5727e2d957e7,3,2041,Serving Platter,4,135.98,543.92,0.0,32.64
a409879e-e68b-4e3a-afb5-470866cab1a1,1,2031,Coffee Mug,3,65.98,197.94,0.0,11.88
a409879e-e68b-4e3a-afb5-470866cab1a1,2,2041,Serving Platter,2,135.98,271.96,0.0,16.32
a409879e-e68b-4e3a-afb5-470866cab1a1,3,2061,Mixing Bowl,4,79.98,319.92,0.0,19.2
2c072fb3-a30a-44b8-a1d6-e235031dd728,1,2031,Coffee Mug,4,65.98,263.92,0.0,15.84
2c072fb3-a30a-44b8-a1d6-e235031dd728,2,2071,Baking Pan,2,57.98,115.96,0.0,6.96
b485d394-1e9a-4a26-b0d8-73d73c8eefd8,1,2012,Espresso Machine,2,851.98,1703.96,0.0,102.24
b485d394-1e9a-4a26-b0d8-73d73c8eefd8,2,2031,Coffee Mug,4,65.98,263.92,0.0,15.84
d4dce9af-83e3-470b-8760-642d38a08c82,1,2022,Fork Set,4,91.98,367.92,0.0,22.08
d4dce9af-83e3-470b-8760-642d38a08c82,2,2031,Coffee Mug,4,65.98,263.92,0.0,15.84
d4dce9af-83e3-470b-8760-642d38a08c82,3,2031,Coffee Mug,2,65.98,131.96,0.0,7.92
d4dce9af-83e3-470b-8760-642d38a08c82,4,2041,Serving Platter,3,135.98,407.94,0.0,24.48
0e11aef4-eea7-45ac-8739-69ac9af96084,1,2041,Serving Platter,4,135.98,543.92,0.0,32.64
0e11aef4-eea7-45ac-8739-69ac9af96084,2,2041,Serving Platter,2,135.98,271.96,0.0,16.32
0e11aef4-eea7-45ac-8739-69ac9af96084,3,2112,4-Slice Toaster,2,179.98,359.96,0.0,21.6
0e11aef4-eea7-45ac-8739-69ac9af96084,4,2012,Espresso Machine,2,851.98,1703.96,0.0,102.24
5927f8ac-166a-4921-bbb6-9c089d5073d3,1,2081,Food Storage Set,4,69.98,279.92,0.0,16.8
5927f8ac-166a-4921-bbb6-9c089d5073d3,2,2021,Chef Knife,4,179.98,719.92,0.0,43.2
eaa3512e-3d6b-4e8e-a757-64351338489a,1,2112,4-Slice Toaster,4,179.98,719.92,0.0,43.2
eaa3512e-3d6b-4e8e-a757-64351338489a,2,2091,Spatula,2,25.98,51.96,0.0,3.12
eaa3512e-3d6b-4e8e-a757-64351338489a,3,2121,Bamboo Cutting Board Set,4,91.98,367.92,0.0,22.08
